Title,Date & Time,Summary,Article,Annotated_Summary,Generated_Summary
Himachal Pradesh DGP prisons brings Mahakumbh to prisoners through water from Triveni Sangam,"February 27, 2025 6:45 pm",Over 100 inmates in two prisons participate in Rudrabhishek; jail administration plans more spiritual events.,Himachal Pradesh DGP prisons brings Mahakumbh to prisoners through water from Triveni Sangam. Over 100 inmates in two prisons participate in Rudrabhishek; jail administration plans more spiritual events.,Over 100 inmates in two prisons participate in Rudrabhishek; jail administration plans more spiritual events.,Over 100 inmates in two prisons participate in Rudrabhishek; jail administration plans more spiritual events. Inmates in two prisons participate in Rudrabhishek; jail administration plans more spiritual events.
Maha Kumbh was like a nation breathing with a new consciousness: PM Modi,"February 27, 2025 1:40 pm","The prime minister offered apology to ""Mother Ganga, Mother Yamuna, Mother Saraswati"" as well as people, who he said are a form of God to him, for any shortcoming in the services rendered.","Maha Kumbh was like a nation breathing with a new consciousness: PM Modi. The prime minister offered apology to ""Mother Ganga, Mother Yamuna, Mother Saraswati"" as well as people, who he said are a form of God to him, for any shortcoming in the services rendered.","The prime minister offered apology to ""Mother Ganga, Mother Yamuna, Mother Saraswati"" as well as people, who he said are a form of God to him, for any shortcoming in the services rendered.","The prime minister offered apology to ""Mother Ganga, Mother Yamuna, Mother Saraswati"" as well as people, who he said are a form of God to him, for any shortcoming in the services rendered."
"Shark Tank judge Ritesh Agarwal visits Mahakumbh Mela 2025 with son, shares how childhood visit inspired him to start OYO","February 27, 2025 12:11 pm","In a now-viral video, Agarwal shared how he came to a Kumbh Mela in early 2000s and stayed at a distant relative's place.","Shark Tank judge Ritesh Agarwal visits Mahakumbh Mela 2025 with son, shares how childhood visit inspired him to start OYO. In a now-viral video, Agarwal shared how he came to a Kumbh Mela in early 2000s and stayed at a distant relative's place.","In a now-viral video, Agarwal shared how he came to a Kumbh Mela in early 2000s and stayed at a distant relative's place.","In a now-viral video, Agarwal shared how he came to a Kumbh Mela in early 2000s and stayed at a distant relative's place."
"Gopi Bahu in Prayagraj: Woman at Mahakumbh video calls husband, dips mobile phone to give him 'snan'","February 26, 2025 1:18 pm",The Uttar Pradesh government announced on Saturday that a record 60 crore devotees have taken a holy dip at the Triveni Sangam.,"Gopi Bahu in Prayagraj: Woman at Mahakumbh video calls husband, dips mobile phone to give him 'snan'. The Uttar Pradesh government announced on Saturday that a record 60 crore devotees have taken a holy dip at the Triveni Sangam.",The Uttar Pradesh government announced on Saturday that a record 60 crore devotees have taken a holy dip at the Triveni Sangam.,"In Prayagraj: Woman at Mahakumbh video calls husband, dips mobile phone to give him 'snan' The Uttar Pradesh government announced on Saturday that a record 60 crore devotees have taken a holy dip at the Triveni Sangam."
Noida housing society residents create makeshift Sangam in swimming pool with Mahakumbh water. Watch,"February 25, 2025 2:26 pm",The viral video shows several women gathered near the societys pool and pouring the Sangam water.,Noida housing society residents create makeshift Sangam in swimming pool with Mahakumbh water. Watch. The viral video shows several women gathered near the societys pool and pouring the Sangam water.,The viral video shows several women gathered near the societys pool and pouring the Sangam water.,Watch. The viral video shows several women gathered near the societys pool and pouring the Sangam water. The viral video shows several women gathered near the societys pool and pouring the Sangam water.
"'Atheism provides a different lens to understand philosophy and life': Amish Tripathi on India's mythology, faith, traditions","February 24, 2025 4:30 pm","In this exclusive interview, Amish Tripathi discusses his writing journey, the intersection of mythology and history, and the evolution of faith, culture, and storytelling in India.","'Atheism provides a different lens to understand philosophy and life': Amish Tripathi on India's mythology, faith, traditions. In this exclusive interview, Amish Tripathi discusses his writing journey, the intersection of mythology and history, and the evolution of faith, culture, and storytelling in India.","In this exclusive interview, Amish Tripathi discusses his writing journey, the intersection of mythology and history, and the evolution of faith, culture, and storytelling in India.","Amish Tripathi on India's mythology, faith, traditions In this exclusive interview, Amish Tripathi discusses his writing journey, the intersection of mythology and history, and the evolution of faith, culture, and storytelling in India."
Massive rush of devotees at Ayodhya's Shri Ram Janmabhoomi temple after Mahakumbh Mela visit. Watch,"February 23, 2025 2:49 pm",The video shows devotees carrying luggage on their backs and heads as they climb the stairs leading to the main temple.,Massive rush of devotees at Ayodhya's Shri Ram Janmabhoomi temple after Mahakumbh Mela visit. Watch. The video shows devotees carrying luggage on their backs and heads as they climb the stairs leading to the main temple.,The video shows devotees carrying luggage on their backs and heads as they climb the stairs leading to the main temple.,The video shows devotees carrying luggage on their backs and heads as they climb the stairs leading to the main temple. The video shows devotees carrying luggage on their backs and heads as they climb the stairs leading to the main temple.
60 crore devotees have taken holy dip at Maha Kumbh: UP govt,"February 22, 2025 6:54 pm","This number is expected to surpass 65 crore by the final amrit snan on February 26, an official statement said.","60 crore devotees have taken holy dip at Maha Kumbh: UP govt. This number is expected to surpass 65 crore by the final amrit snan on February 26, an official statement said.","This number is expected to surpass 65 crore by the final amrit snan on February 26, an official statement said.","This number is expected to surpass 65 crore by the final amrit snan on February 26, an official statement said. 'This number is expected to surpass 65 crore by the final amrit snan on February 26,'"
"Artificial immersion: Man offers digital snan at Mahakumbh Mela 2025 for Rs 1,100; sparks hilarious reactions","February 22, 2025 12:15 pm","People can send their photos via WhatsApp, and Deepak Goyal prints and immerses them in the sacred Sangam, offering a digital snan.","Artificial immersion: Man offers digital snan at Mahakumbh Mela 2025 for Rs 1,100; sparks hilarious reactions. People can send their photos via WhatsApp, and Deepak Goyal prints and immerses them in the sacred Sangam, offering a digital snan.","People can send their photos via WhatsApp, and Deepak Goyal prints and immerses them in the sacred Sangam, offering a digital snan.","Deepak Goyal prints and immerses them in the sacred Sangam, offering a digital snan. People can send their photos via WhatsApp, and Deepak Goyal prints and immerses them in the sacred Sangam, offering a digital snan."
"Mahakumbh rush: UP Board postpones Feb 24 exams for high school, intermediate students in Prayagraj to March 9","February 22, 2025 11:37 am","In all other districts of Uttar Pradesh, the high school and intermediate exams will be held on February 24, a statement issued by the UP Madhyamik Shiksha Parishad said.","Mahakumbh rush: UP Board postpones Feb 24 exams for high school, intermediate students in Prayagraj to March 9. In all other districts of Uttar Pradesh, the high school and intermediate exams will be held on February 24, a statement issued by the UP Madhyamik Shiksha Parishad said.","In all other districts of Uttar Pradesh, the high school and intermediate exams will be held on February 24, a statement issued by the UP Madhyamik Shiksha Parishad said.","In all other districts of Uttar Pradesh, the high school and intermediate exams will be held on February 24, a statement issued by the UP Madhyamik Shiksha Parishad said."
"As Pune-Prayagraj flight rates soar, 60% correction expected post Maha Kumbh","February 20, 2025 5:52 pm","Airlines, which had increased fares to accommodate the surge of pilgrims, are now set to normalise rates as demand drops post-Maha Kumbh.","As Pune-Prayagraj flight rates soar, 60% correction expected post Maha Kumbh. Airlines, which had increased fares to accommodate the surge of pilgrims, are now set to normalise rates as demand drops post-Maha Kumbh.","Airlines, which had increased fares to accommodate the surge of pilgrims, are now set to normalise rates as demand drops post-Maha Kumbh.","As Pune-Prayagraj flight rates soar, 60% correction expected post Maha Kumbh. Airlines, which had increased fares to accommodate the surge of pilgrims, are now set to normalise rates as demand drops post-Maha Kumbh."
"Grammy-winning musician Ricky Kej releases Mahakumbh anthem, fans react: 'Sacred sounds, pure bliss'","February 20, 2025 4:32 pm","The songs central line, ""Ek mein anek, Mahakumbh aake dekh,"" captures the spirit of the world's largest religious congregation.","Grammy-winning musician Ricky Kej releases Mahakumbh anthem, fans react: 'Sacred sounds, pure bliss'. The songs central line, ""Ek mein anek, Mahakumbh aake dekh,"" captures the spirit of the world's largest religious congregation.","The songs central line, ""Ek mein anek, Mahakumbh aake dekh,"" captures the spirit of the world's largest religious congregation.","The songs central line, ""Ek mein anek, Mahakumbh aake dekh,"" captures the spirit of the world's largest religious congregation ."
Solving Crime: How Mumbai police caught gang behind fake website offering helicopter rides at Mahakumbh,"February 20, 2025 1:16 pm","Three men from Bihar were arrested for allegedly cheating people by creating fake websites offering helicopter rides during the Mahakumbh in Prayagraj, Uttar Pradesh.","Solving Crime: How Mumbai police caught gang behind fake website offering helicopter rides at Mahakumbh. Three men from Bihar were arrested for allegedly cheating people by creating fake websites offering helicopter rides during the Mahakumbh in Prayagraj, Uttar Pradesh.","Three men from Bihar were arrested for allegedly cheating people by creating fake websites offering helicopter rides during the Mahakumbh in Prayagraj, Uttar Pradesh.","Three men from Bihar were arrested for allegedly cheating people by creating fake websites offering helicopter rides during the Mahakumbh in Prayagraj, Uttar Pradesh. The three men from Bihar were arrested for allegedly cheating people by creating fake websites offering helicopter rides during the Mahakumbh."
"In a first, a Nihang faction participates in Shahi Snan at Mahakumbh","February 19, 2025 10:38 pm","Of the 13 akharas at the Mahakumbh, three are tied to Sikhism and have long been associated with the mega religious gathering.","In a first, a Nihang faction participates in Shahi Snan at Mahakumbh. Of the 13 akharas at the Mahakumbh, three are tied to Sikhism and have long been associated with the mega religious gathering.","Of the 13 akharas at the Mahakumbh, three are tied to Sikhism and have long been associated with the mega religious gathering.","In a first, a Nihang faction participates in Shahi Snan at Mahakumbh. Of the 13 akharas at the Mahakumbh, three are tied to Sikhism and have long been associated with the mega religious gathering."
'Playing with faith of 56 crore people': UP CM Yogi Adityanath questions politicisation of Mahakumbh deaths,"February 19, 2025 4:15 pm",UP CM Yogi Adityanath also conveyed his sympathies with the people who lost their lives in events related to the Kumbh.,'Playing with faith of 56 crore people': UP CM Yogi Adityanath questions politicisation of Mahakumbh deaths. UP CM Yogi Adityanath also conveyed his sympathies with the people who lost their lives in events related to the Kumbh.,UP CM Yogi Adityanath also conveyed his sympathies with the people who lost their lives in events related to the Kumbh.,'Playing with faith of 56 crore people': UP CM Yogi Adityanath also conveyed his sympathies with the people who lost their lives in events related to the Kumbh.
"NGT says UP report on Ganga water quality during Kumbh lacks details, days after CPCB flagged that faecal coliform levels were high","February 20, 2025 2:23 am","NGT's Sangam Water Report Update: UPs Additional Advocate General says states pollution control board will examine CPCB report, take action to improve water quality","NGT says UP report on Ganga water quality during Kumbh lacks details, days after CPCB flagged that faecal coliform levels were high. NGT's Sangam Water Report Update: UPs Additional Advocate General says states pollution control board will examine CPCB report, take action to improve water quality","NGT's Sangam Water Report Update: UPs Additional Advocate General says states pollution control board will examine CPCB report, take action to improve water quality","NGT says UP report on Ganga water quality during Kumbh lacks details, days after CPCB flagged that faecal coliform levels were high."
"Vijay Deverakonda takes a holy dip at Mahakumbh, shares pictures: 'Saying prayers with mummy dearest'","February 17, 2025 7:56 pm",Vijay Deverakonda took to his Instagram handle to share glimpses of his sacred dip at theTriveni Sangam in Prayagraj.,"Vijay Deverakonda takes a holy dip at Mahakumbh, shares pictures: 'Saying prayers with mummy dearest'. Vijay Deverakonda took to his Instagram handle to share glimpses of his sacred dip at theTriveni Sangam in Prayagraj.",Vijay Deverakonda took to his Instagram handle to share glimpses of his sacred dip at theTriveni Sangam in Prayagraj.,Vijay Deverakonda took to his Instagram handle to share glimpses of his sacred dip at theTriveni Sangam in Prayagraj . 'Saying prayers with mummy dearest'
"Watch: After Delhi stampede, chaos at Bengals Asansol railway station as devotees rush for train to Mahakumbh","February 17, 2025 4:07 pm","The viral footage shows a large number of devotees rushing to the platform at Asansol railway station to board trains to Prayagraj, UP.","Watch: After Delhi stampede, chaos at Bengals Asansol railway station as devotees rush for train to Mahakumbh. The viral footage shows a large number of devotees rushing to the platform at Asansol railway station to board trains to Prayagraj, UP.","The viral footage shows a large number of devotees rushing to the platform at Asansol railway station to board trains to Prayagraj, UP.","The viral footage shows a large number of devotees rushing to the platform at Asansol railway station to board trains to Prayagraj, UP. The footage shows a large number of devotees rushing"
"'CCTV footage secured, witnesses called': Railways high-level committee begins probe into stampede at New Delhi Railway Station","February 16, 2025 1:31 pm",The inspection was carried out on platform 14 of the railway station in the national capital which is where the Prayagraj Express was stationed leading to a surge of passengers.,"'CCTV footage secured, witnesses called': Railways high-level committee begins probe into stampede at New Delhi Railway Station. The inspection was carried out on platform 14 of the railway station in the national capital which is where the Prayagraj Express was stationed leading to a surge of passengers.",The inspection was carried out on platform 14 of the railway station in the national capital which is where the Prayagraj Express was stationed leading to a surge of passengers.,Railways high-level committee begins probe into stampede at New Delhi Railway Station. The inspection was carried out on platform 14 of the railway station in the national capital which is where the Prayagraj Express was stationed leading to a surge of passengers.
"Had told her not to go: Amidst tears and anguish, families mourn victims of stampede at New Delhi Railway Station","February 17, 2025 2:26 am","At Delhi's Lok Nayak hospital, senior leaders, including Delhis Lieutenant Governor VK Saxena and former Chief Minister Atishi, arrived to take stock of the situation.","Had told her not to go: Amidst tears and anguish, families mourn victims of stampede at New Delhi Railway Station. At Delhi's Lok Nayak hospital, senior leaders, including Delhis Lieutenant Governor VK Saxena and former Chief Minister Atishi, arrived to take stock of the situation.","At Delhi's Lok Nayak hospital, senior leaders, including Delhis Lieutenant Governor VK Saxena and former Chief Minister Atishi, arrived to take stock of the situation.","At Delhi's Lok Nayak hospital, senior leaders, including Delhis Lieutenant Governor VK Saxena and former Chief Minister Atishi, arrived to take stock of the situation."
"Mahakumbh viral sensation 'Mona Lisa' inaugurates Boby Chemmanur's jewellery in Kerala, dances with him","February 15, 2025 1:57 pm",Mona Lisa became an overnight sensation for her 'looks' after being spotted at Mahakumbh Mela 2025.,"Mahakumbh viral sensation 'Mona Lisa' inaugurates Boby Chemmanur's jewellery in Kerala, dances with him. Mona Lisa became an overnight sensation for her 'looks' after being spotted at Mahakumbh Mela 2025.",Mona Lisa became an overnight sensation for her 'looks' after being spotted at Mahakumbh Mela 2025.,"Mona Lisa became an overnight sensation for her 'looks' after being spotted at Mahakumbh Mela 2025. 'Mona Lisa' inaugurates Boby Chemmanur's jewellery in Kerala, dances with him."
"In sea of Kumbh visitors, police have tall order: Identify womans body unclaimed since Jan 29 stampede","February 14, 2025 3:33 pm","Officials are looking at CCTVs, putting up posters and liaisoning with neighbouring states for any clues on her identity","In sea of Kumbh visitors, police have tall order: Identify womans body unclaimed since Jan 29 stampede. Officials are looking at CCTVs, putting up posters and liaisoning with neighbouring states for any clues on her identity","Officials are looking at CCTVs, putting up posters and liaisoning with neighbouring states for any clues on her identity","Officials are looking at CCTVs, putting up posters and liaisoning with neighbouring states for any clues on her identity . Officials are looking at CCTVs, posters and liaisoning with neighbouring states for any clues on her identity"
"Day after Maghi Purnima Snan at Maha Kumbh: Main rituals over, crowds start thinning","February 14, 2025 4:04 am","After akharas, 10 lakh kalpvasis begin to leave Mela area for their homes","Day after Maghi Purnima Snan at Maha Kumbh: Main rituals over, crowds start thinning. After akharas, 10 lakh kalpvasis begin to leave Mela area for their homes","After akharas, 10 lakh kalpvasis begin to leave Mela area for their homes","After akharas, 10 lakh kalpvasis begin to leave Mela area for their homes. After akharas, 10 lakh kalpvasis begin to leave Mela area for their homes."
Why are Sikhs taking holy dips at Mahakumbh?,"February 14, 2025 10:49 pm",Three of the 13 akharas at the ongoing Mahakumbh are associated with Sikhism.,Why are Sikhs taking holy dips at Mahakumbh?. Three of the 13 akharas at the ongoing Mahakumbh are associated with Sikhism.,Three of the 13 akharas at the ongoing Mahakumbh are associated with Sikhism.,Why are Sikhs taking holy dips at Mahakumbh?. Three of the 13 akharas at the ongoing Mahakumbh are associated with Sikhism.
WATCH: Chaos erupts at Patna Junction as Mahakumbh devotees attempt to board train,"February 12, 2025 3:14 pm",The video shows several passengers struggling to board the train.,WATCH: Chaos erupts at Patna Junction as Mahakumbh devotees attempt to board train. The video shows several passengers struggling to board the train.,The video shows several passengers struggling to board the train.,The video shows several passengers struggling to board the train. The video shows several passengers struggling to board the train. The video shows several passengers struggling to board the train. The video shows several passengers struggling to board the train.
Maha Kumbh: Millions gather for Maghi Purnima 'snan' amid elaborate arrangements,"February 12, 2025 7:53 am","CM Adityanath is taking regular updates on the 'Snan' at Sangam, from the war room set up at his official residence in Lucknow.","Maha Kumbh: Millions gather for Maghi Purnima 'snan' amid elaborate arrangements. CM Adityanath is taking regular updates on the 'Snan' at Sangam, from the war room set up at his official residence in Lucknow.","CM Adityanath is taking regular updates on the 'Snan' at Sangam, from the war room set up at his official residence in Lucknow.","Millions gather for Maghi Purnima 'snan' amid elaborate arrangements. CM Adityanath is taking regular updates on the 'Snan' at Sangam, from the war room set up at his official residence in Lucknow."
"B Praak cancels Ranveer Allahbadias podcast, little boys hilarious plea to tiger and more: Top 5 viral videos","February 11, 2025 6:41 pm","From chaos at a Bihar railway station to a 'karaoke' autorickshaw in Mumbai, a look at the top five viral videos of the day.","B Praak cancels Ranveer Allahbadias podcast, little boys hilarious plea to tiger and more: Top 5 viral videos. From chaos at a Bihar railway station to a 'karaoke' autorickshaw in Mumbai, a look at the top five viral videos of the day.","From chaos at a Bihar railway station to a 'karaoke' autorickshaw in Mumbai, a look at the top five viral videos of the day.","From chaos at a Bihar railway station to a 'karaoke' autorickshaw in Mumbai, a look at the top five viral videos of the day ."
"Unable to board train to Mahakumbh, pilgrims vandalise coaches in Bihar","February 11, 2025 12:31 pm","The clip shows the trains windowpane falling on the passengers, sparking a heated argument between those inside and the group on the railway station platform in Bihars Madhubhani.","Unable to board train to Mahakumbh, pilgrims vandalise coaches in Bihar. The clip shows the trains windowpane falling on the passengers, sparking a heated argument between those inside and the group on the railway station platform in Bihars Madhubhani.","The clip shows the trains windowpane falling on the passengers, sparking a heated argument between those inside and the group on the railway station platform in Bihars Madhubhani.","The clip shows the trains windowpane falling on the passengers, sparking a heated argument between those inside and the group on the railway station platform in Bihars Madhubhani."
"At crowded Sangam, devotees opt illegal motorcycle services to commute","February 11, 2025 8:59 am","At present, two groups of motorcyclists are operating one ferries visitors from parking lots on the citys outskirts to the Kumbh gates, while the other shuttles pilgrims within the Kumbh area, charging for rides to the ghats and Sangam nose.","At crowded Sangam, devotees opt illegal motorcycle services to commute. At present, two groups of motorcyclists are operating one ferries visitors from parking lots on the citys outskirts to the Kumbh gates, while the other shuttles pilgrims within the Kumbh area, charging for rides to the ghats and Sangam nose.","At present, two groups of motorcyclists are operating one ferries visitors from parking lots on the citys outskirts to the Kumbh gates, while the other shuttles pilgrims within the Kumbh area, charging for rides to the ghats and Sangam nose.","At crowded Sangam devotees opt illegal motorcycle services to commute. At present, two groups of motorcyclists are operating one ferries visitors from parking lots on the citysoutskirts to the Kumbh gates, while the other shuttles pilgrims within the Kumbh area, charging for rides to the ghats and Sangam nose."
Watch: Never-ending traffic jam restricts devotees as vehicles remain stuck for hours at Mahakumbh,"February 10, 2025 12:25 pm",Several people raised concerns about the management of Mahakumbh by the Yogi Adityanath-led government.,Watch: Never-ending traffic jam restricts devotees as vehicles remain stuck for hours at Mahakumbh. Several people raised concerns about the management of Mahakumbh by the Yogi Adityanath-led government.,Several people raised concerns about the management of Mahakumbh by the Yogi Adityanath-led government.,Watch: Never-ending traffic jam restricts devotees as vehicles remain stuck for hours at Mahakumbh. Several people raised concerns about the management of Mahakumbh by the Yogi Adityanath-led government.
"President Murmu to visit Maha Kumbh Mela on Monday, take holy dip at Sangam","February 09, 2025 4:51 pm","During her day-long visit to Prayagraj, the President will take holy dip and perform Pooja at Sangam,"" says an official statement by Rashtrapati Bhavan.","President Murmu to visit Maha Kumbh Mela on Monday, take holy dip at Sangam. During her day-long visit to Prayagraj, the President will take holy dip and perform Pooja at Sangam,"" says an official statement by Rashtrapati Bhavan.","During her day-long visit to Prayagraj, the President will take holy dip and perform Pooja at Sangam,"" says an official statement by Rashtrapati Bhavan.","During her day-long visit to Prayagraj, the President will take holy dip and perform Pooja at Sangam,"" says an official statement by Rashtrapati Bhavan."
"Babas play cricket at Mahakumbh Mela 2025, video goes viral","February 07, 2025 1:29 pm","Dressed in traditional attire, the babas at the Mahakumbh can be seen effortlessly smashing boundaries.","Babas play cricket at Mahakumbh Mela 2025, video goes viral. Dressed in traditional attire, the babas at the Mahakumbh can be seen effortlessly smashing boundaries.","Dressed in traditional attire, the babas at the Mahakumbh can be seen effortlessly smashing boundaries.","The babas at the Mahakumbh can be seen effortlessly smashing boundaries. Dressed in traditional attire, the babas at the Mahakumbh can be seen effortlessly smashing boundaries."
"Fire breaks out at Mahakumbh, second blaze since start of congregation","February 07, 2025 11:30 am","No casualties have been reported, news agency PTIquoted fire officials as saying.","Fire breaks out at Mahakumbh, second blaze since start of congregation. No casualties have been reported, news agency PTIquoted fire officials as saying.","No casualties have been reported, news agency PTIquoted fire officials as saying.","Fire breaks out at Mahakumbh, second blaze since start of congregation. No casualties have been reported, news agency PTIquoted fire officials as saying. - -"
